Responder Type,Year,Survey Responder,Survey question,Response option,Percent,N
Firm Size - Employees,2016,20-49 employees,"Employment expectations, next 12 months",Will increase,46%,1724
Firm Size - Employees,2016,50-499 employees,"Employment expectations, next 12 months",Will increase,55%,1133
Firm Size - Employees,2017,1-4 employees,"Employment expectations, next 12 months",Will increase,44%,2601
Firm Size - Employees,2017,5-9 employees,"Employment expectations, next 12 months",Will increase,51%,1751
Firm Size - Employees,2017,10-19 employees,"Employment expectations, next 12 months",Will increase,59%,1342
Firm Size - Employees,2017,20-49 employees,"Employment expectations, next 12 months",Will increase,49%,1254
Firm Size - Employees,2017,50-499 employees,"Employment expectations, next 12 months",Will increase,59%,788
Firm Size - Employees,2018,1-4 employees,"Employment expectations, next 12 months",Will increase,40%,2363
Firm Size - Employees,2018,5-9 employees,"Employment expectations, next 12 months",Will increase,47%,1496
Firm Size - Employees,2018,10-19 employees,"Employment expectations, next 12 months",Will increase,51%,1040
Firm Size - Employees,2018,20-49 employees,"Employment expectations, next 12 months",Will increase,52%,978
Firm Size - Employees,2018,50-499 employees,"Employment expectations, next 12 months",Will increase,59%,573
Firm Size - Employees,2019,1-4 employees,"Employment expectations, next 12 months",Will increase,41%,1887
Firm Size - Employees,2019,5-9 employees,"Employment expectations, next 12 months",Will increase,46%,1208
Firm Size - Employees,2019,10-19 employees,"Employment expectations, next 12 months",Will increase,46%,892
Firm Size - Employees,2019,20-49 employees,"Employment expectations, next 12 months",Will increase,49%,699
Firm Size - Employees,2019,50-499 employees,"Employment expectations, next 12 months",Will increase,60%,338
Firm Size - Employees,2020,1-4 employees,"Employment expectations, next 12 months",Will increase,29%,4245
Firm Size - Employees,2020,5-9 employees,"Employment expectations, next 12 months",Will increase,31%,2211
Firm Size - Employees,2020,10-19 employees,"Employment expectations, next 12 months",Will increase,34%,1537
Firm Size - Employees,2020,20-49 employees,"Employment expectations, next 12 months",Will increase,39%,992
Firm Size - Employees,2020,50-499 employees,"Employment expectations, next 12 months",Will increase,49%,427
Firm Size - Employees,2021,1-4 employees,"Employment expectations, next 12 months",Will increase,33%,4351
Firm Size - Employees,2021,5-9 employees,"Employment expectations, next 12 months",Will increase,45%,2631
Firm Size - Employees,2021,10-19 employees,"Employment expectations, next 12 months",Will increase,49%,1882
Firm Size - Employees,2021,20-49 employees,"Employment expectations, next 12 months",Will increase,54%,1237
Firm Size - Employees,2021,50-499 employees,"Employment expectations, next 12 months",Will increase,63%,534
Firm Size - Employees,2022,1-4 employees,"Employment expectations, next 12 months",Will increase,34%,3167
Firm Size - Employees,2022,5-9 employees,"Employment expectations, next 12 months",Will increase,38%,1836
Firm Size - Employees,2022,10-19 employees,"Employment expectations, next 12 months",Will increase,50%,1287
Firm Size - Employees,2022,20-49 employees,"Employment expectations, next 12 months",Will increase,43%,897
Firm Size - Employees,2022,50-499 employees,"Employment expectations, next 12 months",Will increase,53%,412
Firm Size - Employees,2023,1-4 employees,"Employment expectations, next 12 months",Will increase,36%,2437
Firm Size - Employees,2023,5-9 employees,"Employment expectations, next 12 months",Will increase,38%,1449
Firm Size - Employees,2023,10-19 employees,"Employment expectations, next 12 months",Will increase,45%,1011
Firm Size - Employees,2023,20-49 employees,"Employment expectations, next 12 months",Will increase,47%,778
Firm Size - Employees,2023,50-499 employees,"Employment expectations, next 12 months",Will increase,54%,358
Firm Size - Employees,2016,1-4 employees,"Profitability, end of prior year",Operating at a profit,51%,2893
Firm Size - Employees,2016,5-9 employees,"Profitability, end of prior year",Operating at a profit,52%,2143
Firm Size - Employees,2016,10-19 employees,"Profitability, end of prior year",Operating at a profit,59%,1746
Firm Size - Employees,2016,20-49 employees,"Profitability, end of prior year",Operating at a profit,67%,1724
Firm Size - Employees,2016,50-499 employees,"Profitability, end of prior year",Operating at a profit,75%,1127
Firm Size - Employees,2017,1-4 employees,"Profitability, end of prior year",Operating at a profit,53%,2588
Firm Size - Employees,2017,5-9 employees,"Profitability, end of prior year",Operating at a profit,57%,1782
Firm Size - Employees,2017,10-19 employees,"Profitability, end of prior year",Operating at a profit,63%,1365
Firm Size - Employees,2017,20-49 employees,"Profitability, end of prior year",Operating at a profit,65%,1297
Firm Size - Employees,2017,50-499 employees,"Profitability, end of prior year",Operating at a profit,74%,798
Firm Size - Employees,2018,1-4 employees,"Profitability, end of prior year",Operating at a profit,52%,2234
Firm Size - Employees,2018,5-9 employees,"Profitability, end of prior year",Operating at a profit,58%,1464
Firm Size - Employees,2018,10-19 employees,"Profitability, end of prior year",Operating at a profit,61%,1030
Firm Size - Employees,2018,20-49 employees,"Profitability, end of prior year",Operating at a profit,66%,980
Firm Size - Employees,2018,50-499 employees,"Profitability, end of prior year",Operating at a profit,73%,572
Firm Size - Employees,2019,1-4 employees,"Profitability, end of prior year",Operating at a profit,53%,1829
Firm Size - Employees,2019,5-9 employees,"Profitability, end of prior year",Operating at a profit,57%,1193
Firm Size - Employees,2019,10-19 employees,"Profitability, end of prior year",Operating at a profit,60%,884
Firm Size - Employees,2019,20-49 employees,"Profitability, end of prior year",Operating at a profit,65%,699
Firm Size - Employees,2019,50-499 employees,"Profitability, end of prior year",Operating at a profit,78%,337
Firm Size - Employees,2020,1-4 employees,"Profitability, end of prior year",Operating at a profit,61%,4148
Firm Size - Employees,2020,5-9 employees,"Profitability, end of prior year",Operating at a profit,63%,2154
Firm Size - Employees,2020,10-19 employees,"Profitability, end of prior year",Operating at a profit,67%,1509
Firm Size - Employees,2020,20-49 employees,"Profitability, end of prior year",Operating at a profit,73%,985
Firm Size - Employees,2020,50-499 employees,"Profitability, end of prior year",Operating at a profit,85%,429
Firm Size - Employees,2021,1-4 employees,"Profitability, end of prior year",Operating at a profit,32%,4158
Firm Size - Employees,2021,5-9 employees,"Profitability, end of prior year",Operating at a profit,33%,2518
Firm Size - Employees,2021,10-19 employees,"Profitability, end of prior year",Operating at a profit,34%,1811
Firm Size - Employees,2021,20-49 employees,"Profitability, end of prior year",Operating at a profit,44%,1201
Firm Size - Employees,2021,50-499 employees,"Profitability, end of prior year",Operating at a profit,58%,525
Firm Size - Employees,2022,1-4 employees,"Profitability, end of prior year",Operating at a profit,41%,3166
Firm Size - Employees,2022,5-9 employees,"Profitability, end of prior year",Operating at a profit,44%,1779
Firm Size - Employees,2022,10-19 employees,"Profitability, end of prior year",Operating at a profit,45%,1262
Firm Size - Employees,2022,20-49 employees,"Profitability, end of prior year",Operating at a profit,57%,885
Firm Size - Employees,2022,50-499 employees,"Profitability, end of prior year",Operating at a profit,73%,411
Firm Size - Employees,2023,1-4 employees,"Profitability, end of prior year",Operating at a profit,42%,2373
Firm Size - Employees,2023,5-9 employees,"Profitability, end of prior year",Operating at a profit,45%,1416
Firm Size - Employees,2023,10-19 employees,"Profitability, end of prior year",Operating at a profit,53%,997
Firm Size - Employees,2023,20-49 employees,"Profitability, end of prior year",Operating at a profit,63%,768
Firm Size - Employees,2023,50-499 employees,"Profitability, end of prior year",Operating at a profit,73%,359
Firm Size - Employees,2016,1-4 employees,"Revenue change, prior 12 months",Increased,49%,2979
Firm Size - Employees,2016,5-9 employees,"Revenue change, prior 12 months",Increased,53%,2162
Firm Size - Employees,2016,10-19 employees,"Revenue change, prior 12 months",Increased,54%,1757
Firm Size - Employees,2016,20-49 employees,"Revenue change, prior 12 months",Increased,51%,1730
Firm Size - Employees,2016,50-499 employees,"Revenue change, prior 12 months",Increased,54%,1130
Firm Size - Employees,2017,1-4 employees,"Revenue change, prior 12 months",Increased,52%,2703
Firm Size - Employees,2017,5-9 employees,"Revenue change, prior 12 months",Increased,54%,1818
Firm Size - Employees,2017,10-19 employees,"Revenue change, prior 12 months",Increased,58%,1381
Firm Size - Employees,2017,20-49 employees,"Revenue change, prior 12 months",Increased,50%,1288
Firm Size - Employees,2017,50-499 employees,"Revenue change, prior 12 months",Increased,59%,793
Firm Size - Employees,2018,1-4 employees,"Revenue change, prior 12 months",Increased,55%,2350
Firm Size - Employees,2018,5-9 employees,"Revenue change, prior 12 months",Increased,58%,1501
Firm Size - Employees,2018,10-19 employees,"Revenue change, prior 12 months",Increased,59%,1031
Firm Size - Employees,2018,20-49 employees,"Revenue change, prior 12 months",Increased,65%,984
Firm Size - Employees,2018,50-499 employees,"Revenue change, prior 12 months",Increased,64%,572
Firm Size - Employees,2019,1-4 employees,"Revenue change, prior 12 months",Increased,54%,1873
Firm Size - Employees,2019,5-9 employees,"Revenue change, prior 12 months",Increased,57%,1191
Firm Size - Employees,2019,10-19 employees,"Revenue change, prior 12 months",Increased,59%,884
Firm Size - Employees,2019,20-49 employees,"Revenue change, prior 12 months",Increased,59%,696
Firm Size - Employees,2019,50-499 employees,"Revenue change, prior 12 months",Increased,67%,339
Firm Size - Employees,2020,1-4 employees,"Revenue change, prior 12 months",Increased,11%,4359
Firm Size - Employees,2020,5-9 employees,"Revenue change, prior 12 months",Increased,13%,2229
Firm Size - Employees,2020,10-19 employees,"Revenue change, prior 12 months",Increased,16%,1544
Firm Size - Employees,2020,20-49 employees,"Revenue change, prior 12 months",Increased,21%,999
Firm Size - Employees,2020,50-499 employees,"Revenue change, prior 12 months",Increased,27%,430
Firm Size - Employees,2021,1-4 employees,"Revenue change, prior 12 months",Increased,32%,4403
Firm Size - Employees,2021,5-9 employees,"Revenue change, prior 12 months",Increased,39%,2602
Firm Size - Employees,2021,10-19 employees,"Revenue change, prior 12 months",Increased,44%,1863
Firm Size - Employees,2021,20-49 employees,"Revenue change, prior 12 months",Increased,49%,1216
Firm Size - Employees,2021,50-499 employees,"Revenue change, prior 12 months",Increased,56%,533
Firm Size - Employees,2022,1-4 employees,"Revenue change, prior 12 months",Increased,39%,3238
Firm Size - Employees,2022,5-9 employees,"Revenue change, prior 12 months",Increased,46%,1805
Firm Size - Employees,2022,10-19 employees,"Revenue change, prior 12 months",Increased,53%,1258
Firm Size - Employees,2022,20-49 employees,"Revenue change, prior 12 months",Increased,54%,874
Firm Size - Employees,2022,50-499 employees,"Revenue change, prior 12 months",Increased,63%,414
Firm Size - Employees,2023,1-4 employees,"Revenue change, prior 12 months",Increased,40%,2386
Firm Size - Employees,2023,5-9 employees,"Revenue change, prior 12 months",Increased,44%,1392
Firm Size - Employees,2023,10-19 employees,"Revenue change, prior 12 months",Increased,50%,974
Firm Size - Employees,2023,20-49 employees,"Revenue change, prior 12 months",Increased,48%,752
Firm Size - Employees,2023,50-499 employees,"Revenue change, prior 12 months",Increased,52%,352
Firm Size - Employees,2016,1-4 employees,"Revenue expectations, next 12 months",Will increase,69%,2990
Firm Size - Employees,2016,5-9 employees,"Revenue expectations, next 12 months",Will increase,71%,2176
Firm Size - Employees,2016,10-19 employees,"Revenue expectations, next 12 months",Will increase,69%,1765
Firm Size - Employees,2016,20-49 employees,"Revenue expectations, next 12 months",Will increase,65%,1729
Firm Size - Employees,2016,50-499 employees,"Revenue expectations, next 12 months",Will increase,69%,1135
Firm Size - Employees,2017,1-4 employees,"Revenue expectations, next 12 months",Will increase,72%,2736
Firm Size - Employees,2017,5-9 employees,"Revenue expectations, next 12 months",Will increase,74%,1836
Firm Size - Employees,2017,10-19 employees,"Revenue expectations, next 12 months",Will increase,76%,1397
Firm Size - Employees,2017,20-49 employees,"Revenue expectations, next 12 months",Will increase,68%,1302
Firm Size - Employees,2017,50-499 employees,"Revenue expectations, next 12 months",Will increase,73%,802
Firm Size - Employees,2018,1-4 employees,"Revenue expectations, next 12 months",Will increase,72%,2384
Firm Size - Employees,2018,5-9 employees,"Revenue expectations, next 12 months",Will increase,71%,1507
Firm Size - Employees,2018,10-19 employees,"Revenue expectations, next 12 months",Will increase,74%,1037
Firm Size - Employees,2018,20-49 employees,"Revenue expectations, next 12 months",Will increase,73%,980
Firm Size - Employees,2018,50-499 employees,"Revenue expectations, next 12 months",Will increase,74%,572
Firm Size - Employees,2019,1-4 employees,"Revenue expectations, next 12 months",Will increase,69%,1870
Firm Size - Employees,2019,5-9 employees,"Revenue expectations, next 12 months",Will increase,69%,1200
Firm Size - Employees,2019,10-19 employees,"Revenue expectations, next 12 months",Will increase,71%,876
Firm Size - Employees,2019,20-49 employees,"Revenue expectations, next 12 months",Will increase,66%,686
Firm Size - Employees,2019,50-499 employees,"Revenue expectations, next 12 months",Will increase,71%,335
Firm Size - Employees,2020,1-4 employees,"Revenue expectations, next 12 months",Will increase,39%,4387
Firm Size - Employees,2020,5-9 employees,"Revenue expectations, next 12 months",Will increase,39%,2237
Firm Size - Employees,2020,10-19 employees,"Revenue expectations, next 12 months",Will increase,42%,1557
Firm Size - Employees,2020,20-49 employees,"Revenue expectations, next 12 months",Will increase,47%,1003
Firm Size - Employees,2020,50-499 employees,"Revenue expectations, next 12 months",Will increase,55%,432
Firm Size - Employees,2021,1-4 employees,"Revenue expectations, next 12 months",Will increase,54%,4433
Firm Size - Employees,2021,5-9 employees,"Revenue expectations, next 12 months",Will increase,62%,2617
Firm Size - Employees,2021,10-19 employees,"Revenue expectations, next 12 months",Will increase,66%,1877
Firm Size - Employees,2021,20-49 employees,"Revenue expectations, next 12 months",Will increase,62%,1230
Firm Size - Employees,2021,50-499 employees,"Revenue expectations, next 12 months",Will increase,70%,535
Firm Size - Employees,2022,1-4 employees,"Revenue expectations, next 12 months",Will increase,55%,3266
Firm Size - Employees,2022,5-9 employees,"Revenue expectations, next 12 months",Will increase,57%,1834
Firm Size - Employees,2022,10-19 employees,"Revenue expectations, next 12 months",Will increase,63%,1278
Firm Size - Employees,2022,20-49 employees,"Revenue expectations, next 12 months",Will increase,54%,879
Firm Size - Employees,2022,50-499 employees,"Revenue expectations, next 12 months",Will increase,58%,417
Firm Size - Employees,2023,1-4 employees,"Revenue expectations, next 12 months",Will increase,56%,2414
Firm Size - Employees,2023,5-9 employees,"Revenue expectations, next 12 months",Will increase,58%,1419
Firm Size - Employees,2023,10-19 employees,"Revenue expectations, next 12 months",Will increase,62%,991
Firm Size - Employees,2023,20-49 employees,"Revenue expectations, next 12 months",Will increase,58%,763
Firm Size - Employees,2023,50-499 employees,"Revenue expectations, next 12 months",Will increase,64%,358
Firm Size - Employees,2016,1-4 employees,Share that experienced a financial challenge,Experienced a financial challenge,62%,2968
Firm Size - Employees,2016,5-9 employees,Share that experienced a financial challenge,Experienced a financial challenge,60%,2165
Firm Size - Employees,2016,10-19 employees,Share that experienced a financial challenge,Experienced a financial challenge,57%,1756
Firm Size - Employees,2016,20-49 employees,Share that experienced a financial challenge,Experienced a financial challenge,48%,1705
Firm Size - Employees,2016,50-499 employees,Share that experienced a financial challenge,Experienced a financial challenge,39%,1116
Firm Size - Employees,2017,1-4 employees,Share that experienced a financial challenge,Experienced a financial challenge,65%,2759
Firm Size - Employees,2017,5-9 employees,Share that experienced a financial challenge,Experienced a financial challenge,66%,1838
Firm Size - Employees,2017,10-19 employees,Share that experienced a financial challenge,Experienced a financial challenge,63%,1397
Firm Size - Employees,2017,20-49 employees,Share that experienced a financial challenge,Experienced a financial challenge,57%,1303
Firm Size - Employees,2017,50-499 employees,Share that experienced a financial challenge,Experienced a financial challenge,48%,800
Firm Size - Employees,2018,1-4 employees,Share that experienced a financial challenge,Experienced a financial challenge,66%,2402
Firm Size - Employees,2018,5-9 employees,Share that experienced a financial challenge,Experienced a financial challenge,66%,1516
Firm Size - Employees,2018,10-19 employees,Share that experienced a financial challenge,Experienced a financial challenge,64%,1038
Firm Size - Employees,2018,20-49 employees,Share that experienced a financial challenge,Experienced a financial challenge,55%,971
Firm Size - Employees,2018,50-499 employees,Share that experienced a financial challenge,Experienced a financial challenge,49%,563
Firm Size - Employees,2019,1-4 employees,Share that experienced a financial challenge,Experienced a financial challenge,68%,1925
Firm Size - Employees,2019,5-9 employees,Share that experienced a financial challenge,Experienced a financial challenge,67%,1234
Firm Size - Employees,2019,10-19 employees,Share that experienced a financial challenge,Experienced a financial challenge,68%,897
Firm Size - Employees,2019,20-49 employees,Share that experienced a financial challenge,Experienced a financial challenge,60%,708
Firm Size - Employees,2019,50-499 employees,Share that experienced a financial challenge,Experienced a financial challenge,50%,336
Firm Size - Employees,2020,1-4 employees,Share that experienced a financial challenge,Experienced a financial challenge,85%,4411
Firm Size - Employees,2020,5-9 employees,Share that experienced a financial challenge,Experienced a financial challenge,82%,2245
Firm Size - Employees,2020,10-19 employees,Share that experienced a financial challenge,Experienced a financial challenge,79%,1555
Firm Size - Employees,2020,20-49 employees,Share that experienced a financial challenge,Experienced a financial challenge,69%,1006
Firm Size - Employees,2020,50-499 employees,Share that experienced a financial challenge,Experienced a financial challenge,58%,428
Firm Size - Employees,2021,1-4 employees,Share that experienced a financial challenge,Experienced a financial challenge,87%,4514
Firm Size - Employees,2021,5-9 employees,Share that experienced a financial challenge,Experienced a financial challenge,85%,2672
Firm Size - Employees,2021,10-19 employees,Share that experienced a financial challenge,Experienced a financial challenge,86%,1895
Firm Size - Employees,2021,20-49 employees,Share that experienced a financial challenge,Experienced a financial challenge,79%,1239
Firm Size - Employees,2021,50-499 employees,Share that experienced a financial challenge,Experienced a financial challenge,72%,531
Firm Size - Employees,2022,1-4 employees,Share that experienced a financial challenge,Experienced a financial challenge,94%,3342
Firm Size - Employees,2022,5-9 employees,Share that experienced a financial challenge,Experienced a financial challenge,94%,1871
Firm Size - Employees,2022,10-19 employees,Share that experienced a financial challenge,Experienced a financial challenge,95%,1302
Firm Size - Employees,2022,20-49 employees,Share that experienced a financial challenge,Experienced a financial challenge,94%,903
Firm Size - Employees,2022,50-499 employees,Share that experienced a financial challenge,Experienced a financial challenge,90%,419
Firm Size - Employees,2023,1-4 employees,Share that experienced a financial challenge,Experienced a financial challenge,92%,2485
Firm Size - Employees,2023,5-9 employees,Share that experienced a financial challenge,Experienced a financial challenge,93%,1462
Firm Size - Employees,2023,10-19 employees,Share that experienced a financial challenge,Experienced a financial challenge,95%,1019
Firm Size - Employees,2023,20-49 employees,Share that experienced a financial challenge,Experienced a financial challenge,93%,779
Firm Size - Employees,2023,50-499 employees,Share that experienced a financial challenge,Experienced a financial challenge,87%,358
Firm Size - Employees,2016,1-4 employees,Share with outstanding debt,Have outstanding debt,64%,2882
Firm Size - Employees,2016,5-9 employees,Share with outstanding debt,Have outstanding debt,73%,2070
Firm Size - Employees,2016,10-19 employees,Share with outstanding debt,Have outstanding debt,78%,1686
Firm Size - Employees,2016,20-49 employees,Share with outstanding debt,Have outstanding debt,76%,1632
Firm Size - Employees,2016,50-499 employees,Share with outstanding debt,Have outstanding debt,77%,1053
Firm Size - Employees,2017,1-4 employees,Share with outstanding debt,Have outstanding debt,62%,2728
Firm Size - Employees,2017,5-9 employees,Share with outstanding debt,Have outstanding debt,72%,1818
Firm Size - Employees,2017,10-19 employees,Share with outstanding debt,Have outstanding debt,73%,1369
Firm Size - Employees,2017,20-49 employees,Share with outstanding debt,Have outstanding debt,76%,1272
Firm Size - Employees,2017,50-499 employees,Share with outstanding debt,Have outstanding debt,78%,771
Firm Size - Employees,2018,1-4 employees,Share with outstanding debt,Have outstanding debt,66%,2387
Firm Size - Employees,2018,5-9 employees,Share with outstanding debt,Have outstanding debt,74%,1506
Firm Size - Employees,2018,10-19 employees,Share with outstanding debt,Have outstanding debt,78%,1039
Firm Size - Employees,2018,20-49 employees,Share with outstanding debt,Have outstanding debt,73%,962
Firm Size - Employees,2018,50-499 employees,Share with outstanding debt,Have outstanding debt,76%,557
Firm Size - Employees,2019,1-4 employees,Share with outstanding debt,Have outstanding debt,67%,1900
Firm Size - Employees,2019,5-9 employees,Share with outstanding debt,Have outstanding debt,71%,1225
Firm Size - Employees,2019,10-19 employees,Share with outstanding debt,Have outstanding debt,82%,896
Firm Size - Employees,2019,20-49 employees,Share with outstanding debt,Have outstanding debt,76%,703
Firm Size - Employees,2019,50-499 employees,Share with outstanding debt,Have outstanding debt,77%,339
Firm Size - Employees,2020,1-4 employees,Share with outstanding debt,Have outstanding debt,77%,4311
Firm Size - Employees,2020,5-9 employees,Share with outstanding debt,Have outstanding debt,82%,2199
Firm Size - Employees,2020,10-19 employees,Share with outstanding debt,Have outstanding debt,83%,1520
Firm Size - Employees,2020,20-49 employees,Share with outstanding debt,Have outstanding debt,83%,990
Firm Size - Employees,2020,50-499 employees,Share with outstanding debt,Have outstanding debt,81%,423
Firm Size - Employees,2021,1-4 employees,Share with outstanding debt,Have outstanding debt,71%,4428
Firm Size - Employees,2021,5-9 employees,Share with outstanding debt,Have outstanding debt,78%,2634
Firm Size - Employees,2021,10-19 employees,Share with outstanding debt,Have outstanding debt,79%,1864
Firm Size - Employees,2021,20-49 employees,Share with outstanding debt,Have outstanding debt,78%,1224
Firm Size - Employees,2021,50-499 employees,Share with outstanding debt,Have outstanding debt,75%,529
Firm Size - Employees,2022,1-4 employees,Share with outstanding debt,Have outstanding debt,70%,3278
Firm Size - Employees,2022,5-9 employees,Share with outstanding debt,Have outstanding debt,74%,1850
Firm Size - Employees,2022,10-19 employees,Share with outstanding debt,Have outstanding debt,74%,1283
Firm Size - Employees,2022,20-49 employees,Share with outstanding debt,Have outstanding debt,77%,887
Firm Size - Employees,2022,50-499 employees,Share with outstanding debt,Have outstanding debt,73%,410
Firm Size - Employees,2023,1-4 employees,Share with outstanding debt,Have outstanding debt,69%,2457
Firm Size - Employees,2023,5-9 employees,Share with outstanding debt,Have outstanding debt,77%,1458
Firm Size - Employees,2023,10-19 employees,Share with outstanding debt,Have outstanding debt,71%,1011
Firm Size - Employees,2023,20-49 employees,Share with outstanding debt,Have outstanding debt,76%,780
Firm Size - Employees,2023,50-499 employees,Share with outstanding debt,Have outstanding debt,73%,353
Firm Size - Annual Revenue,2017,<$1M,Actions taken in response to financial challenges,Used personal funds,70%,3028
Firm Size - Annual Revenue,2017,>$1M,Actions taken in response to financial challenges,Used personal funds,55%,1739
Firm Size - Annual Revenue,2018,<$1M,Actions taken in response to financial challenges,Used personal funds,69%,2667
Firm Size - Annual Revenue,2018,>$1M,Actions taken in response to financial challenges,Used personal funds,60%,1262
Firm Size - Annual Revenue,2020,<$1M,Actions taken in response to financial challenges,Used personal funds,66%,5154
Firm Size - Annual Revenue,2020,>$1M,Actions taken in response to financial challenges,Used personal funds,53%,2546
Firm Size - Annual Revenue,2021,<$1M,Actions taken in response to financial challenges,Used personal funds,66%,6992
Firm Size - Annual Revenue,2021,>$1M,Actions taken in response to financial challenges,Used personal funds,40%,2176
Firm Size - Annual Revenue,2022,<$1M,Actions taken in response to financial challenges,Used personal funds,60%,5370
Firm Size - Annual Revenue,2022,>$1M,Actions taken in response to financial challenges,Used personal funds,31%,1966
Firm Size - Annual Revenue,2023,<$1M,Actions taken in response to financial challenges,Used personal funds,62%,3728
Firm Size - Annual Revenue,2023,>$1M,Actions taken in response to financial challenges,Used personal funds,35%,1952
Firm Size - Annual Revenue,2017,<$1M,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",32%,4341
Firm Size - Annual Revenue,2017,>$1M,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",38%,3482
Firm Size - Annual Revenue,2018,<$1M,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",33%,3847
Firm Size - Annual Revenue,2018,>$1M,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",43%,2529
Firm Size - Annual Revenue,2019,<$1M,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",35%,3112
Firm Size - Annual Revenue,2019,>$1M,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",43%,1896
Firm Size - Annual Revenue,2020,<$1M,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",26%,5817
Firm Size - Annual Revenue,2020,>$1M,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",34%,3362
Firm Size - Annual Revenue,2021,<$1M,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",23%,7442
Firm Size - Annual Revenue,2021,>$1M,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",30%,2749
Firm Size - Annual Revenue,2022,<$1M,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",39%,5560
Firm Size - Annual Revenue,2022,>$1M,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",45%,2134
Firm Size - Annual Revenue,2023,<$1M,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",36%,3913
Firm Size - Annual Revenue,2023,>$1M,Applications for financing,"Applied for a loan, line of credit, or merchant cash advance",37%,2104
Firm Size - Annual Revenue,2017,<$1M,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),49%,1332
Firm Size - Annual Revenue,2017,>$1M,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),69%,1261
Firm Size - Annual Revenue,2018,<$1M,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),53%,1242
Firm Size - Annual Revenue,2018,>$1M,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),67%,999
Firm Size - Annual Revenue,2019,<$1M,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),58%,1033
Firm Size - Annual Revenue,2019,>$1M,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),70%,770
Firm Size - Annual Revenue,2020,<$1M,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),42%,1374
Firm Size - Annual Revenue,2020,>$1M,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),64%,1019
Firm Size - Annual Revenue,2021,<$1M,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),39%,1578
Firm Size - Annual Revenue,2021,>$1M,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),67%,749
Firm Size - Annual Revenue,2022,<$1M,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),44%,2014
Firm Size - Annual Revenue,2022,>$1M,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),74%,961
Firm Size - Annual Revenue,2023,<$1M,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),44%,1362
Firm Size - Annual Revenue,2023,>$1M,Best outcome on loan/LOC/merchant cash advance application(s),All (100%),64%,779
Firm Size - Annual Revenue,2020,<$1M,Current financial condition,Poor or fair,63%,5982
Firm Size - Annual Revenue,2020,>$1M,Current financial condition,Poor or fair,47%,3432
Firm Size - Annual Revenue,2021,<$1M,Current financial condition,Poor or fair,66%,7689
Firm Size - Annual Revenue,2021,>$1M,Current financial condition,Poor or fair,36%,2816
Firm Size - Annual Revenue,2022,<$1M,Current financial condition,Poor or fair,66%,5560
Firm Size - Annual Revenue,2022,>$1M,Current financial condition,Poor or fair,34%,2134
Firm Size - Annual Revenue,2023,<$1M,Current financial condition,Poor or fair,63%,3913
Firm Size - Annual Revenue,2023,>$1M,Current financial condition,Poor or fair,38%,2104
Firm Size - Annual Revenue,2017,<$1M,"Employment change, prior 12 months",Increased,34%,4070
Firm Size - Annual Revenue,2017,>$1M,"Employment change, prior 12 months",Increased,38%,3301
Firm Size - Annual Revenue,2018,<$1M,"Employment change, prior 12 months",Increased,33%,3590
Firm Size - Annual Revenue,2018,>$1M,"Employment change, prior 12 months",Increased,45%,2375
Firm Size - Annual Revenue,2019,<$1M,"Employment change, prior 12 months",Increased,34%,2901
Firm Size - Annual Revenue,2019,>$1M,"Employment change, prior 12 months",Increased,41%,1780
Firm Size - Annual Revenue,2020,<$1M,"Employment change, prior 12 months",Increased,11%,5767
Firm Size - Annual Revenue,2020,>$1M,"Employment change, prior 12 months",Increased,15%,3385
Firm Size - Annual Revenue,2021,<$1M,"Employment change, prior 12 months",Increased,20%,7415
Firm Size - Annual Revenue,2021,>$1M,"Employment change, prior 12 months",Increased,32%,2782
Firm Size - Annual Revenue,2022,<$1M,"Employment change, prior 12 months",Increased,26%,5277
Firm Size - Annual Revenue,2022,>$1M,"Employment change, prior 12 months",Increased,36%,2100
Firm Size - Annual Revenue,2023,<$1M,"Employment change, prior 12 months",Increased,28%,3811
